measurement_id,sample_id,protein_id,protein_name,uniprot_id,gene_symbol,rfu_value,normalized_value,z_score,detection_status
MEAS00024,SAMP003,PROT004,Phospho-Tau (pT181),P10636,MAPT,589.3,0.97,-0.28,Detected
MEAS00025,SAMP003,PROT005,Neurofilament light chain,P07196,NEFL,1298.5,1.48,0.22,Detected
MEAS00026,SAMP003,PROT006,GFAP,P14136,GFAP,923.7,1.15,-0.05,Detected
MEAS00027,SAMP003,PROT007,YKL-40,P36222,CHI3L1,2201.3,1.82,0.58,Detected
MEAS00028,SAMP003,PROT008,Neurogranin,Q92686,NRGN,467.8,0.85,-0.45,Detected
MEAS00029,SAMP003,PROT009,VILIP-1,P37235,VSNL1,701.2,1.01,-0.22,Detected
MEAS00030,SAMP003,PROT010,S100B,P04271,S100B,1623.9,1.55,0.31,Detected
MEAS00031,SAMP005,PROT001,Amyloid-beta protein 40,P05067,APP,2789.3,1.95,0.58,Detected
MEAS00032,SAMP005,PROT002,Amyloid-beta protein 42,P05067,APP,2134.5,1.78,0.22,Detected
MEAS00033,SAMP005,PROT003,Tau protein,P10636,MAPT,4567.2,2.45,1.25,Detected
MEAS00034,SAMP005,PROT004,Phospho-Tau (pT181),P10636,MAPT,892.4,1.18,0.15,Detected
MEAS00035,SAMP005,PROT005,Neurofilament light chain,P07196,NEFL,1678.9,1.65,0.45,Detected
MEAS00036,SAMP005,PROT006,GFAP,P14136,GFAP,1234.5,1.38,0.22,Detected
MEAS00037,SAMP005,PROT007,YKL-40,P36222,CHI3L1,2876.4,2.12,0.95,Detected
MEAS00038,SAMP005,PROT008,Neurogranin,Q92686,NRGN,623.7,0.95,-0.28,Detected
MEAS00039,SAMP005,PROT009,VILIP-1,P37235,VSNL1,876.5,1.15,0.05,Detected
MEAS00040,SAMP005,PROT010,S100B,P04271,S100B,2012.6,1.78,0.62,Detected
MEAS00041,SAMP008,PROT001,Amyloid-beta protein 40,P05067,APP,4567.8,2.65,1.42,Detected
MEAS00042,SAMP008,PROT002,Amyloid-beta protein 42,P05067,APP,3456.7,2.38,1.15,Detected
MEAS00043,SAMP008,PROT003,Tau protein,P10636,MAPT,7234.5,3.25,2.12,Detected
MEAS00044,SAMP008,PROT004,Phospho-Tau (pT181),P10636,MAPT,1678.9,1.72,0.85,Detected
MEAS00045,SAMP008,PROT005,Neurofilament light chain,P07196,NEFL,2456.3,2.05,1.08,Detected
MEAS00046,SAMP008,PROT006,GFAP,P14136,GFAP,1876.4,1.75,0.82,Detected
MEAS00047,SAMP008,PROT007,YKL-40,P36222,CHI3L1,4123.7,2.68,1.52,Detected
MEAS00048,SAMP008,PROT008,Neurogranin,Q92686,NRGN,1234.5,1.45,0.52,Detected
MEAS00049,SAMP008,PROT009,VILIP-1,P37235,VSNL1,1567.8,1.58,0.62,Detected
MEAS00050,SAMP008,PROT010,S100B,P04271,S100B,2876.5,2.18,1.18,Detected
MEAS00051,SAMP009,PROT001,Amyloid-beta protein 40,P05067,APP,12456.7,4.25,3.05,Detected
MEAS00052,SAMP009,PROT002,Amyloid-beta protein 42,P05067,APP,6789.3,3.45,2.35,Detected
MEAS00053,SAMP009,PROT003,Tau protein,P10636,MAPT,15678.9,4.82,3.65,Detected
MEAS00054,SAMP009,PROT004,Phospho-Tau (pT181),P10636,MAPT,3456.8,2.45,1.85,Detected
MEAS00055,SAMP009,PROT005,Neurofilament light chain,P07196,NEFL,4567.2,2.85,1.95,Detected
MEAS00056,SAMP009,PROT006,GFAP,P14136,GFAP,3234.6,2.45,1.68,Detected
MEAS00057,SAMP009,PROT007,YKL-40,P36222,CHI3L1,7823.4,3.52,2.48,Detected
MEAS00058,SAMP009,PROT008,Neurogranin,Q92686,NRGN,2876.5,2.18,1.52,Detected
MEAS00059,SAMP009,PROT009,VILIP-1,P37235,VSNL1,3456.7,2.52,1.75,Detected
MEAS00060,SAMP009,PROT010,S100B,P04271,S100B,5234.8,3.05,2.18,Detected
MEAS00061,SAMP011,PROT001,Amyloid-beta protein 40,P05067,APP,2345.6,1.82,0.38,Detected
MEAS00062,SAMP011,PROT002,Amyloid-beta protein 42,P05067,APP,1756.8,1.58,-0.18,Detected
MEAS00063,SAMP011,PROT003,Tau protein,P10636,MAPT,3289.4,2.08,0.82,Detected
MEAS00064,SAMP011,PROT004,Phospho-Tau (pT181),P10636,MAPT,534.2,0.92,-0.35,Detected
MEAS00065,SAMP011,PROT005,Neurofilament light chain,P07196,NEFL,1189.3,1.42,0.15,Detected
MEAS00066,SAMP011,PROT006,GFAP,P14136,GFAP,856.7,1.08,-0.12,Detected
MEAS00067,SAMP011,PROT007,YKL-40,P36222,CHI3L1,2067.9,1.75,0.52,Detected
MEAS00068,SAMP011,PROT008,Neurogranin,Q92686,NRGN,423.5,0.78,-0.52,Detected
MEAS00069,SAMP011,PROT009,VILIP-1,P37235,VSNL1,645.8,0.95,-0.28,Detected
MEAS00070,SAMP011,PROT010,S100B,P04271,S100B,1498.7,1.48,0.25,Detected
MEAS00071,SAMP015,PROT001,Amyloid-beta protein 40,P05067,APP,2678.5,1.92,0.52,Detected
MEAS00072,SAMP015,PROT002,Amyloid-beta protein 42,P05067,APP,2045.3,1.75,0.18,Detected
MEAS00073,SAMP015,PROT003,Tau protein,P10636,MAPT,4234.8,2.35,1.15,Detected
MEAS00074,SAMP015,PROT004,Phospho-Tau (pT181),P10636,MAPT,823.6,1.12,0.08,Detected
MEAS00075,SAMP015,PROT005,Neurofilament light chain,P07196,NEFL,1567.4,1.58,0.38,Detected
MEAS00076,SAMP015,PROT006,GFAP,P14136,GFAP,1145.9,1.32,0.18,Detected
MEAS00077,SAMP015,PROT007,YKL-40,P36222,CHI3L1,2678.3,2.05,0.88,Detected
MEAS00078,SAMP015,PROT008,Neurogranin,Q92686,NRGN,578.9,0.92,-0.32,Detected
MEAS00079,SAMP015,PROT009,VILIP-1,P37235,VSNL1,812.3,1.08,-0.08,Detected
MEAS00080,SAMP015,PROT010,S100B,P04271,S100B,1867.5,1.72,0.55,Detected
MEAS00081,SAMP017,PROT001,Amyloid-beta protein 40,P05067,APP,2412.9,1.86,0.44,Detected
MEAS00082,SAMP017,PROT002,Amyloid-beta protein 42,P05067,APP,1845.7,1.63,-0.14,Detected
MEAS00083,SAMP017,PROT003,Tau protein,P10636,MAPT,3456.2,2.14,0.89,Detected
MEAS00084,SAMP017,PROT004,Phospho-Tau (pT181),P10636,MAPT,575.6,0.96,-0.31,Detected
MEAS00085,SAMP017,PROT005,Neurofilament light chain,P07196,NEFL,1267.8,1.46,0.19,Detected
MEAS00086,SAMP017,PROT006,GFAP,P14136,GFAP,901.5,1.13,-0.07,Detected
MEAS00087,SAMP017,PROT007,YKL-40,P36222,CHI3L1,2156.8,1.79,0.56,Detected
MEAS00088,SAMP017,PROT008,Neurogranin,Q92686,NRGN,452.6,0.83,-0.47,Detected
MEAS00089,SAMP017,PROT009,VILIP-1,P37235,VSNL1,689.4,0.99,-0.24,Detected
MEAS00090,SAMP017,PROT010,S100B,P04271,S100B,1589.2,1.53,0.29,Detected
MEAS00091,SAMP020,PROT001,Amyloid-beta protein 40,P05067,APP,2301.4,1.80,0.36,Detected
MEAS00092,SAMP020,PROT002,Amyloid-beta protein 42,P05067,APP,1712.9,1.56,-0.20,Detected
MEAS00093,SAMP020,PROT003,Tau protein,P10636,MAPT,3178.6,2.05,0.78,Detected
MEAS00094,SAMP020,PROT004,Phospho-Tau (pT181),P10636,MAPT,521.8,0.90,-0.38,Detected
MEAS00095,SAMP020,PROT005,Neurofilament light chain,P07196,NEFL,1156.4,1.40,0.12,Detected
MEAS00096,SAMP020,PROT006,GFAP,P14136,GFAP,834.2,1.06,-0.15,Detected
MEAS00097,SAMP020,PROT007,YKL-40,P36222,CHI3L1,2001.5,1.72,0.48,Detected
MEAS00098,SAMP020,PROT008,Neurogranin,Q92686,NRGN,412.7,0.76,-0.55,Detected
MEAS00099,SAMP020,PROT009,VILIP-1,P37235,VSNL1,623.5,0.93,-0.31,Detected
MEAS00100,SAMP020,PROT010,S100B,P04271,S100B,1445.3,1.46,0.22,Detected
